d_MEDIDAS_PROTECCION_DESCRIPCION.keyword: Descending;d_ANIO_PS.keyword: Descending;Count
C, D;2021;6784
C, D;2020;6514
C, D;2022;4917
C, D;2023;2619
B, C, D;2020;4457
B, C, D;2021;4055
B, C, D;2022;3414
B, C, D;2023;1939
B, C, A, D;2020;2113
B, C, A, D;2021;1663
B, C, A, D;2022;1353
B, C, A, D;2023;876
B, C, J, D;2022;1209
B, C, J, D;2021;1131
B, C, J, D;2023;1032
B, C, J, D;2020;607
B, C, E, D;2020;641
B, C, E, D;2021;484
B, C, E, D;2022;361
B, C, E, D;2023;225
B, C, J, A, D;2021;604
B, C, J, A, D;2022;399
B, C, J, A, D;2020;341
B, C, J, A, D;2023;267
C, J, D;2021;581
C, J, D;2022;405
C, J, D;2023;241
C, J, D;2020;222
B, C, E, A, D;2020;440
B, C, E, A, D;2021;297
B, C, E, A, D;2022;214
B, C, E, A, D;2023;111
D;2020;412
D;2021;258
D;2022;232
D;2023;72
C, E, D;2020;312
C, E, D;2021;294
C, E, D;2022;221
C, E, D;2023;130
B, C, E, J, D;2022;247
B, C, E, J, D;2021;227
B, C, E, J, D;2020;144
B, C, E, J, D;2023;115
B, J, D;2022;184
B, J, D;2023;108
B, J, D;2021;61
B, J, D;2020;7
J;2022;149
J;2023;105
J;2021;72
J;2020;24
B, C, E, J, A, D;2021;108
B, C, E, J, A, D;2020;100
B, C, E, J, A, D;2022;68
B, C, E, J, A, D;2023;44
B, C;2021;100
B, C;2020;60
B, C;2022;57
B, C;2023;29
J, D;2021;68
J, D;2022;60
J, D;2023;51
J, D;2020;37
B, C, N, D;2020;61
B, C, N, D;2021;50
B, C, N, D;2022;34
B, C, N, D;2023;18
B, D;2021;51
B, D;2022;43
B, D;2020;34
B, D;2023;6
B, C, O, D;2020;51
B, C, O, D;2022;28
B, C, O, D;2021;25
B, C, O, D;2023;14
C, A, D;2020;40
C, A, D;2021;33
C, A, D;2022;21
C, A, D;2023;10
C, N, D;2021;38
C, N, D;2020;33
C, N, D;2022;20
C, N, D;2023;8
C, E, J, D;2020;36
C, E, J, D;2021;34
C, E, J, D;2022;18
C, E, J, D;2023;9
B, C, M, D;2020;52
B, C, M, D;2021;25
B, C, M, D;2022;10
B, C, M, D;2023;8
F, B, C, E, D;2020;32
F, B, C, E, D;2021;29
F, B, C, E, D;2022;19
F, B, C, E, D;2023;15
B, C, M, J, A, D;2021;39
B, C, M, J, A, D;2020;25
B, C, M, J, A, D;2023;12
B, C, M, J, A, D;2022;9
B, C, N, J, D;2021;38
B, C, N, J, D;2022;24
B, C, N, J, D;2020;11
B, C, N, J, D;2023;11
B, C, J, D, G;2022;31
B, C, J, D, G;2021;22
B, C, J, D, G;2023;14
B, C, J, D, G;2020;13
B, C, M, E, J, D;2021;24
B, C, M, E, J, D;2022;23
B, C, M, E, J, D;2020;17
B, C, M, E, J, D;2023;11
B, C, N, O, D;2020;30
B, C, N, O, D;2021;19
B, C, N, O, D;2022;15
B, C, N, O, D;2023;10
B, C, N, A, D;2022;28
B, C, N, A, D;2020;24
B, C, N, A, D;2021;12
B, C, N, A, D;2023;7
B, C, M, A, D;2021;26
B, C, M, A, D;2020;22
B, C, M, A, D;2022;13
B, C, M, A, D;2023;9
B, C, A;2023;21
B, C, A;2021;18
B, C, A;2022;18
B, C, A;2020;12
B, C, M, J, D;2020;25
B, C, M, J, D;2021;22
B, C, M, J, D;2022;13
B, C, M, J, D;2023;7
B, C, M, E, J, A, D;2021;31
B, C, M, E, J, A, D;2020;19
B, C, M, E, J, A, D;2022;9
B, C, M, E, J, A, D;2023;7
B, C, N, J, O, D;2021;22
B, C, N, J, O, D;2022;22
B, C, N, J, O, D;2023;19
B, C, N, J, O, D;2020;3
B, C, O, A, D;2021;24
B, C, O, A, D;2020;19
B, C, O, A, D;2022;14
B, C, O, A, D;2023;9
C, O, D;2021;26
C, O, D;2020;21
C, O, D;2022;10
C, O, D;2023;9
F, C, E, D;2020;21
F, C, E, D;2021;21
F, C, E, D;2022;13
F, C, E, D;2023;8
B, C, N, O, A, D;2020;19
B, C, N, O, A, D;2021;17
B, C, N, O, A, D;2023;14
B, C, N, O, A, D;2022;11
F, B, C, E, A, D;2020;24
F, B, C, E, A, D;2021;17
F, B, C, E, A, D;2022;16
F, B, C, E, A, D;2023;3
F, B, C, J, D;2022;31
F, B, C, J, D;2023;17
F, B, C, J, D;2020;8
F, B, C, J, D;2021;4
F, B, C, D;2020;31
F, B, C, D;2021;11
F, B, C, D;2022;8
F, B, C, D;2023;6
C;2021;19
C;2020;16
C;2022;11
C;2023;2
B, C, M, E, D;2020;29
B, C, M, E, D;2021;14
B, C, M, E, D;2022;3
B, C, M, E, D;2023;1
C, J, A, D;2020;20
C, J, A, D;2021;11
C, J, A, D;2023;10
C, J, A, D;2022;6
B, C, M, E, A, D;2020;19
B, C, M, E, A, D;2021;15
B, C, M, E, A, D;2022;8
B, C, M, E, A, D;2023;2
B, C, J, A, D, G;2021;16
B, C, J, A, D, G;2022;12
B, C, J, A, D, G;2023;8
B, C, J, A, D, G;2020;7
B, C, N, J, A, D;2021;20
B, C, N, J, A, D;2022;9
B, C, N, J, A, D;2023;5
B, C, N, J, A, D;2020;4
C, N, O, D;2020;13
C, N, O, D;2021;12
C, N, O, D;2022;8
C, N, O, D;2023;5
F, B, C, E, J, D;2021;21
F, B, C, E, J, D;2020;8
F, B, C, E, J, D;2022;4
F, B, C, E, J, D;2023;2
B, C, D, G;2020;12
B, C, D, G;2021;11
B, C, D, G;2022;7
B, C, D, G;2023;4
C, E, A, D;2020;12
C, E, A, D;2021;10
C, E, A, D;2022;9
C, E, A, D;2023;2
F, C, D;2021;15
F, C, D;2020;12
F, C, D;2022;3
F, C, D;2023;3
C, M, D;2020;14
C, M, D;2021;7
C, M, D;2022;6
C, M, D;2023;4
B, C, J, O, D;2022;10
B, C, J, O, D;2021;8
B, C, J, O, D;2020;6
B, C, J, O, D;2023;6
B, C, J, O, A, D;2021;14
B, C, J, O, A, D;2022;9
B, C, J, O, A, D;2020;3
B, C, J, O, A, D;2023;2
C, N, J, D;2021;13
C, N, J, D;2020;5
C, N, J, D;2022;5
C, N, J, D;2023;4
B, E, J, D;2022;19
B, E, J, D;2021;4
B, E, J, D;2023;2
E, D;2020;10
E, D;2021;9
E, D;2022;4
E, D;2023;2
B, C, A, D, G;2021;9
B, C, A, D, G;2022;8
B, C, A, D, G;2020;5
B, C, A, D, G;2023;2
C, J;2021;11
C, J;2023;6
C, J;2020;4
C, J;2022;3
B, C, N, J, O, A, D;2021;10
B, C, N, J, O, A, D;2020;4
B, C, N, J, O, A, D;2022;4
B, C, N, J, O, A, D;2023;4
F, B, C, A, D;2020;10
F, B, C, A, D;2021;8
F, B, C, A, D;2023;3
F, B, C, A, D;2022;1
F, B, C, E, J, A, D;2021;10
F, B, C, E, J, A, D;2020;7
F, B, C, E, J, A, D;2023;4
F, B, C, E, J, A, D;2022;1
B, C, E, J, D, G;2022;8
B, C, E, J, D, G;2023;5
B, C, E, J, D, G;2021;4
B, C, E, J, D, G;2020;3
F, B, C, J, A, D;2021;9
F, B, C, J, A, D;2022;5
F, B, C, J, A, D;2020;2
F, B, C, J, A, D;2023;1
B, C, M, J, A, D, G;2021;9
B, C, M, J, A, D, G;2022;6
B, C, M, J, A, D, G;2020;1
B, C, M, N, D;2020;8
B, C, M, N, D;2021;3
B, C, M, N, D;2022;2
B, C, M, N, D;2023;1
C, D, G;2021;6
C, D, G;2020;5
C, D, G;2023;2
C, D, G;2022;1
B, C, E, J, A, D, G;2022;6
B, C, E, J, A, D, G;2023;3
B, C, E, J, A, D, G;2020;2
B, C, E, J, A, D, G;2021;2
F, B, C, M, E, A, D;2021;7
F, B, C, M, E, A, D;2020;4
F, B, C, M, E, A, D;2022;2
B, C, E, A, D, G;2021;7
B, C, E, A, D, G;2022;3
B, C, E, A, D, G;2020;2
B, C, E, O, D;2020;7
B, C, E, O, D;2021;2
B, C, E, O, D;2023;2
B, C, E, O, D;2022;1
B, A, D;2020;3
B, A, D;2021;3
B, A, D;2022;3
B, A, D;2023;2
B, N, J, D;2022;5
B, N, J, D;2021;4
B, N, J, D;2023;2
B, C, M, E, J, A, D, G;2020;4
B, C, M, E, J, A, D, G;2022;4
B, C, M, E, J, A, D, G;2021;2
B, C, M, E, J, A, D, G;2023;1
B, C, J;2020;7
B, C, J;2023;2
B, C, J;2021;1
B, C, J;2022;1
B, E, D;2021;7
B, E, D;2020;3
B, E, D;2022;1
B;2022;5
B;2021;4
B;2023;2
C, E, J, A, D;2020;5
C, E, J, A, D;2021;5
C, E, J, A, D;2023;1
B, C, M, N, A, D;2020;5
B, C, M, N, A, D;2021;3
B, C, M, N, A, D;2022;2
B, C, M, O, D;2020;9
B, C, M, O, D;2023;1
B, C, M, E, J, D, G;2021;6
B, C, M, E, J, D, G;2020;2
B, C, M, E, J, D, G;2022;2
F, C, E, J, D;2020;3
F, C, E, J, D;2021;3
F, C, E, J, D;2022;3
F, C, E, J, D;2023;1
H, B, C, D;2021;7
H, B, C, D;2023;2
H, B, C, D;2022;1
B, C, M, N, J, D;2020;3
B, C, M, N, J, D;2021;3
B, C, M, N, J, D;2022;3
C, M, E, D;2020;5
C, M, E, D;2021;2
C, M, E, D;2022;1
C, M, E, D;2023;1
C, N, J, O, D;2023;4
C, N, J, O, D;2021;3
C, N, J, O, D;2022;2
C, J, O, D;2023;4
C, J, O, D;2021;3
C, J, O, D;2020;1
C, J, O, D;2022;1
C, J, D, G;2021;4
C, J, D, G;2020;2
C, J, D, G;2022;2
C, J, D, G;2023;1
B, C, M, N, O, A, D;2021;4
B, C, M, N, O, A, D;2020;2
B, C, M, N, O, A, D;2022;2
B, C, N, J, O, D, G;2021;5
B, C, N, J, O, D, G;2020;1
B, C, N, J, O, D, G;2022;1
B, C, N, J, O, D, G;2023;1
C, M, E, J, D;2021;5
C, M, E, J, D;2020;2
C, M, E, J, D;2022;1
F, C, J, D;2020;3
F, C, J, D;2021;3
F, C, J, D;2022;2
A, D;2020;3
A, D;2022;3
A, D;2021;1
B, C, M, J, O, A, D;2022;3
B, C, M, J, O, A, D;2021;2
B, C, M, J, O, A, D;2020;1
B, C, M, J, O, A, D;2023;1
B, C, M, J, O, D;2020;2
B, C, M, J, O, D;2022;2
B, C, M, J, O, D;2023;2
B, C, M, J, O, D;2021;1
B, C, E, O, A, D;2023;4
B, C, E, O, A, D;2020;1
B, C, E, O, A, D;2021;1
B, C, E, O, A, D;2022;1
B, J, D, G;2022;7
C, M, J, D;2021;5
C, M, J, D;2020;1
C, M, J, D;2022;1
